Date_time,condition,age,sex,Treat_time,ease,effective,satisfaction,comment,year,month,time_mark
2008-09-02 23:01:53,Panic Disorder,45-54,Male, less than 1 month,5,5,5,Not covered by insurance Blue Cross Blue Shield - very sad - first medicine I have found that actually does something for my panic attacks and I can't afford it.,2008,9,1.220396513e+18
2008-09-03 22:23:10,Bipolar Depression,25-34,Female, less than 1 month,5,4,4,"I have been bipolar for 12 years now, taking several different antidepressants, and have never felt as good as I do now. I was on Effexor XR for 2 years and my doctor switched me to Pristiq and I felt better within 2 days!!!",2008,9,1.22048059e+18
2008-09-04 23:45:26,Depression,45-54,Male, 1 to 6 months,3,2,2,"I have been reading about everyones experience with Pristiq.  I would like to say they have been helpful but come on, a report on how you are feeling after being on the medication for 2, 6, 7 days! A report after a month would be good feedback.  My experience with Pristiq after one month was I may have felt a little benefit but this was offset by side effects including upset stomach/diarrhea, cons
					...
					",2008,9,1.220571926e+18
2008-09-05 15:46:50,Depression,35-44,Male, less than 1 month,5,3,3,"I had been on cymbalta 60 but it was a little too strong and had bad sexual side effects, I switch to cymbalta 30mg, that fixed the side effects but I was moody as hell! My doctor switched me to Prestiq, after 2 weeks of feeling bad and having little control over my anger and depression I switched back to cymbalta.",2008,9,1.22062961e+18
2008-09-07 00:04:35,Depression,55-64,Female, 1 to 6 months,5,5,5,I feel better generally and my depression bouts have decreased almost entirely for the time I have been taking pristiq.  I feel it is the best treatment I have ever taken.,2008,9,1.220745875e+18
2008-09-08 21:23:11,Bipolar Depression,45-54,Male, 1 to 6 months,5,4,4,"Started on 7-9 after yrs. on 300mg Effexor XR w/1 Syncopy episode. Shy of 1mo. on 50mg Pristiq, had a near Syncope episode (collapse w/consciousness). Also, started 36mg Concerta on 7-9. Also, 800mg Seroquel before 7-9 (Yrs.) & after. Other meds before & after 7-9; Micardis 80, Levothyroxine 200mcg, Crestor 10, Nexium 40, St. Joe Aspirin 81. Pristiq same, Concerta stopped, Seroquel 200 &am
					...
					",2008,9,1.220908991e+18
2008-09-10 22:43:05,Major Depressive Disorder,25-34,Female, 1 to 6 months,5,5,5,"I have taken Pristiq for 4 months now. It took about a month to work through switching from 6 years of taking Effexor XR 150mg to 50mg of Prstiq. I am happy with the less side effects and my depression has dissappeared. I still suffer from anxiety, but even that is much less. Overall I am pretty happy with this medication, if you can be happy with one?",2008,9,1.221086585e+18
2008-09-12 21:27:29,Bipolar Depression,55-64,Female, 1 to 6 months,5,5,5,"I was diagnosed with chronic depression in 1978 and three years ago with bipolar disorder.  I've taken more antipressants than I could possibly count, none of which have had more than a  minimal effect until I started taking PRISTIQ! About 5 weeks ago my doctor took me off a combination of EffexorXR and Wellbutrin and prescribed Pristiq in their place. He continued my use of Lamictal. The chan
					...
					",2008,9,1.221254849e+18
2008-09-16 22:18:28,Depression,35-44,Female, 1 to 6 months,5,5,5,"The first 2 days all I did was sleep.  After that, no sleepiness.  I do have a dry mouth but other than that, no side effects at all.  I really do feel different since taking the drug - a very good different.  My family has also commented on the change in me.  I was on Lexapro previously and I'm much happier with Pristiq both because of the less side effects and the overall change in me.",2008,9,1.221603508e+18
2008-09-18 17:16:53,Depression,45-54,Female, less than 1 month,5,3,4,"I have been taking Pristiq for 3.5 weeks, my depression is getting better. side effects minimul, but I don't loke the blurred vision so far. The person who reviewed this drug and said B Cross/B Shield doesn't cover should check again. I have the Anthem version of BC/BS and they did start to cover as of 9/1/08. I just hope I keep getting better and the vision improves!",2008,9,1.221758213e+18
2008-09-19 11:25:07,Repeated Episodes of Anxiety,35-44,Male, less than 1 month,5,3,1,"I was prescribed pristiq for anxiety and since it takes 2 to 3 weeks to kick in I stayed with it. The first 10 days were good then the side effects started. I got 3/4 of them. Nassea, vomiting, sweats, chills etc. Had to miss work one day because of this. The pill was worse than the problem it was suppose to help",2008,9,1.221823507e+18
2008-09-19 16:37:10,Depression,35-44,Female, 1 to 6 months,5,4,5,"After Zoloft stopped working, my Dr. changed me to pristiq. It doesn't work as well as Zoloft did, but for the most part, I am satisfied with it. If I miss it for even one day, I can tell my emotions aren't good, I could cry easily. Also, even one day missed causes withdrawals. Frequently when my heartbeats I can feel it in my eardrums and my vision ""jolts"". I have to make sure I
					...
					",2008,9,1.22184223e+18
2008-09-20 13:13:41,Depression,45-54,Female, less than 1 month,5,4,5,I have experienced dry mouth and I wake with headaches frequently,2008,9,1.221916421e+18
2008-09-20 21:05:23,Repeated Episodes of Anxiety,45-54,Female, 1 to 6 months,4,1,1,"Anxiety treatment was changed from Lexapro 20mg to Pristiq 50mg. After 4 weeks on this medication, I became very anxious, could not control my anger and had suicidal thoughts. I pretty much alienated myself from family & co-workers during that time.  Needless to say, I ended the treatment and started Lexapro again!",2008,9,1.221944723e+18
2008-09-22 01:51:25,Depression,35-44,Female, 1 to 6 months,4,2,1,"I began taking this drug at the adivice from my doctor because it was suppose the be the same as effexor but a lower dose and easier on the liver but the medication has not worked for me at all causing me to become more deppressed as if I was on no anti-deppressant at all and the anxiety is so bad now that I can't hardly make it out of the house again. I pray that no one else has been effected
					...
					",2008,9,1.222048285e+18
2008-09-22 12:12:18,Depression,45-54,, 1 to 6 months,4,2,1,"I took 50mg. a day for 30 days. It was HORRIBLE. While I did not notice any difference in my depression, it made my ANGER/HOSTILITY issues worse than they have ever been. It caused me to lose my patience and quit one of my jobs.  I had extreme sweating and the ""cold chills.""  No thanks to my dr., I researched and found out it made my already high BP higher, did not interact with two of m
					...
					",2008,9,1.222085538e+18
2008-09-22 18:24:59,Depression,55-64,Female, less than 1 month,1,1,1,felt so much worse after using effexxor,2008,9,1.222107899e+18
2008-09-24 08:24:04,Depression,55-64,Male, less than 1 month,5,5,5,3 weeks with Pristiq. Wonderful results. No side effects. Life-changing. This is the best antidepressant I've found.,2008,9,1.222244644e+18
2008-09-24 10:28:47,Other,45-54,Female, 1 to 6 months,5,5,5,"I was given Pristiq for numbness in my arms, legs,feet,hands and face due to neuropathy.  Within a few days the numbness was gone. I have been on it now for 2 months and the numbness has not returned.  I have had no side effects.",2008,9,1.222252127e+18
2008-09-24 12:07:59,Depression,35-44,Female, less than 1 month,4,4,4,i suffer from ocd and deprssion was taking cymbalta it helped a little bit my dr put me on pristiq with in 2 days i have felt a differance i have more energy and fill like  i can function  alot better i have how ever had some scarry side affects i have had shortness of breath irregular heart beat and sometimes my heart races has anyone else had tiese side affects?,2008,9,1.222258079e+18
2008-09-24 22:42:49,Other,25-34,Female, 1 to 6 months,5,5,5,"I was given this medication due to having a tah at the age of 29 i have always been a gentel/down to earth person after my operation i found myself very angery with everyone and having thoughts of hurting people who i work with and i think very highly of all my coworkers i would cry at nothing! even diper comericals made me ball 
i have been on it now for a month and half and love it i rest bette
					...
					",2008,9,1.222296169e+18
2008-09-25 11:37:52,Depression,25-34,Female, less than 1 month,5,5,5,"I have only been on this medicine for three days but noticed a change in how I felt after only two hours.  I asked to change meds because the Cymbalta I was on made me want to sleep all the time.  After over a month you would expect that to wear off some but, NO!!! I almost fell asleep behind the wheel twice, decided it was time for a change.  The doctor prescribed Pristiq.  After two hours on it 
					...
					",2008,9,1.222342672e+18
2008-09-27 19:05:29,Depression,55-64,Male,,5,5,5,"in four weeks I went from being unable to sleep and extream depression, even crying . I could not even be around my grand chrildren. It is wonderful. It also has, much to my suprise and excitement, it has no sexual side effects for me..I was on Cymbalta 3 years ago for pain management from back surgery and I was difficult to have an errection and impossible to have climax. ",2008,9,1.222542329e+18
2008-09-30 21:30:09,Major Depressive Disorder,55-64,Female, 1 to 6 months,5,3,3,"I suffer with both anxiety and major depression. Was put on Cymbalta a few years ago and that was a disaster. Pristiq has stopped the racing thoughts and most of the anxiety. No weight gain, but I am so very tired also no desire to do ANYTHING.  Dr has changed me from 50mg to 100mg I haven't felt any difference.  Would be happy if I had a little more energy. I would appreciate any help on the 
					...
					",2008,9,1.222810209e+18
2008-10-01 08:50:56,Depression,25-34,Male, 1 to 6 months,5,3,3,I think the drug is pretty good i have been on it for almost 2 months now the only bad thing is i have been tired and been going to the bathroom a lot more ... i was on efexor how ever you spell it and that gave me extreme dry mouth .. .no more dry mouth.......,2008,10,1.222851056e+18
2008-10-03 21:36:30,Depression,35-44,Female, 1 to 6 months,5,4,4,"After 10+ years being happy with Prozac and Wellbutrin, menopause (or some unknown reason) reduced me to the lifelong depressed person I had been as a young adult.  My doctor switched me to Pristiq which seemed to restore a greater level of happiness and sociability.  After a couple weeks though, I ""snapped"" for a couple days with an irritability I had never known and I was appalled at h
					...
					",2008,10,1.22306979e+18
2008-10-06 08:22:44,Bipolar Depression,35-44,Female, 1 to 6 months,5,5,5,This is the first medication to have a positive response for me.  ,2008,10,1.223281364e+18
2008-10-07 09:57:18,Neuropathic Pain,55-64,Female, less than 1 month,5,5,5,"I had been on cymbalta for 2 1/2 months for fibromyalgia with no results and increased pain and brain fog. My doctor started me on Pristiq on Thursday. Within just a few days I was starting to feel like my old self. The pain is not gone but greatly decreased, and my brain fog has been clearing. I have now taken Pristiq for 5 days, and today I even put on makeup before going to work.  Every medicat
					...
					",2008,10,1.223373438e+18
2008-10-08 10:15:27,Depression,45-54,, less than 1 month,1,2,1,"i feel that i want to sleep all the time, and i really do not want to do anything else.",2008,10,1.223460927e+18
2008-10-12 09:42:21,Depression,55-64,Female, less than 1 month,5,5,5,"I had been on Zoloft for about 15 yrs and it eventually lost it's effectiveness. My MD switched me to Pristiq and the difference has been amazing!! I have a great deal of energy, feel positive and happy about life again and in general feel ""back to normal"". I have been on it for approx 3.5 weeks. The only side effect I am experiencing is the insomnia. I have difficulty falling asleep
					...
					",2008,10,1.223804541e+18
2008-10-12 23:07:41,Panic Disorder,25-34,Female, 1 to 6 months,5,4,4,"i have been off and on different meds for the past few years for my panic disorder. I have to admit that I feel great about 85% of the time now. My anxiety still gets me about one week a month; but other than when my horomones knock me off kilter, it works great. My only complaint is that if you miss a dose for more that a couple of days it reallyy starts to mess you up. I have head shocks and diz
					...
					",2008,10,1.223852861e+18
2008-10-13 14:05:16,Bipolar Depression,45-54,Female, less than 1 month,5,5,5,"I have been on a variety of anti-depressants and mood stablizers for 20 years.  Pristiq is the best by far.  It not only diminished the depression, but does so with very little side effects.  I am not in a fog like I was with many other anti-deperessants.  I was a bit concerned because so many reviewers said it worked so quickly (in days), so if it hasn't kicked in yet, hang in there.  I woke 
					...
					",2008,10,1.223906716e+18
2008-10-13 22:17:43,Bipolar Depression,25-34,Female, less than 1 month,5,5,5,"This medication has brought me back to normal.  I have never felt so good in my life.  I have not had any manic episodes or any thought of hurting myself.  I have been on this med less than a month - it is a God send.  I have tried many meds over the years, and this is the best one for me by far.  I also take Geodon and Ambien.  I have a script for xanax, but I don't need them anymore.  I stil
					...
					",2008,10,1.223936263e+18
2008-10-14 09:51:10,Depression,35-44,Female, less than 1 month,4,3,4,"I have been reading the postings.  i'm taking 50mg.  is anyone else taking this dose?
I was on celexa before, only been taking this drug for 5 days.  I have noticed the waking up at 3am thing though.   
but so far so good.  no other crazy side effects.  ",2008,10,1.22397787e+18
2008-10-14 13:11:38,Panic Disorder,45-54,Female,6 months to less than 1 year,5,4,3,no side effects on 50 mgs went up to 100 and started feeling as if I had a constant UTI without severe pain. Got tested for infection several times over 3 month period. I had made a urology appointment but will cancel it because I saw this warning! Now I'll inform my physician.,2008,10,1.223989898e+18
2008-10-14 14:21:02,Depression,35-44,Female, less than 1 month,5,2,3,"I have been on antidepressants for 15 years.  I have been taking Pristiq 50 mg for 1 week after taking Cymbalta 30 mg for 10 months.  I am having major effects for past 2 days-head & eyelids feel heavy, hard to breath, a sense of being overwhelmed, sobbing.  Has anyone else felt this?  I do not know at this point to suggest this medicine or not.  I certainly hope it will work and the effects I
					...
					",2008,10,1.223994062e+18
2008-10-14 21:11:11,Depression,35-44,Female, 1 to 6 months,5,5,5,"I was on 300 MG Effexor for past 3+ years. My doctor changed me to this and the results were amazing. I had to continue taking 1 effexor a day for a few days since my dosage was so high. This medicine did have bad effects the first couple days until my doctor informed me to stay on the Effexor with it. I'm on the 100MG pill now taken once a day. I have more energy, more enthusiasm, and just ov
					...
					",2008,10,1.224018671e+18
2008-10-17 20:40:26,Major Depressive Disorder,55-64,Female, less than 1 month,4,2,2,still want to sleep all the time and suicide thoughts are still there.marriage is falling apart because of depression,2008,10,1.224276026e+18
2008-10-18 21:46:57,Repeated Episodes of Anxiety,25-34,Female, 1 to 6 months,3,2,2,still having attacks 4 days out of the week on meds and can't take more than perscribed,2008,10,1.224366417e+18
2008-10-19 16:42:26,Depression,65-74,Male, 1 to 6 months,3,3,3,I have only been taking about 3 months. No real change in my depression except loss of suicidal ideations,2008,10,1.224434546e+18
2008-10-19 22:37:18,Neuropathic Pain,35-44,Female, less than 1 month,4,1,1,"I was given this medication for pain.  I suffer from Fibromyilgia for 15 years.  The Dr. prescribed 50mg. It did nothing for my pain, the side effects I suffered were nights of sleeplessness,headaches,twitching of my eyes,trembling of my left hand,dizziness and constipation. Before you take a drug please do your research. I'm still learning the hard way!!!!!",2008,10,1.224455838e+18
2008-10-20 14:35:51,Depression,45-54,Female, less than 1 month,1,1,1,I took it for one month and it attacked the joints in my hand leaving them hurting daily.  It caused my depression to worsen and made me tired.,2008,10,1.224513351e+18
